Harmonized Variable,Study Mapped,Variable Field Name,Variable Description,Missing Samples (%)
HXCVD,MESA,mesaevthr2015_drepos_20200330.chftt,Time to CHF or End of Year 2015 (days),0.425594365
HXCVD,MESA,mesaevthr2015_drepos_20200330.pvd,Peripheral Vascular Disease (PVD),0.513648371
HXCVD,MESA,mesaevthr2015_drepos_20200330.pvdtt,Time to PVD or End of Year 2015 (days),0.4549457
HXCVD,MESA,mesaevthr2015_drepos_20200330.prebase,Type of pre-baseline event,-
HXCVD,MESA,mesae2dres06222012.whoros2c,WHO ROSE Intermittent Claudication,14.26474905
HXCVD,MESA,mesae2dres06222012.e12dyc,"Time between exam visits, in days",8.526562959
HXCVD,MESA,mesaevthr2015_drepos_20200330.mi,Myocardial Infarction (MI),0.440270032
HXCVD,MESA,mesaevthr2015_drepos_20200330.mitt,Time to MI or End of Year 2015 (days),0.440270032
HXCVD,MESA,mesaevthr2015_drepos_20200330.rca,Resuscitated Cardiac Arrest,0.4549457
HXCVD,MESA,mesaevthr2015_drepos_20200330.rcatt,Time to RCA or End of Year 2015 (days),0.4549457
HXCVD,MESA,mesaevthr2015_drepos_20200330.ang,Angina Pectoris,0.4549457
HXCVD,MESA,mesaevthr2015_drepos_20200330.angtt,Time to Angina or End of Year 2015 (days),0.4549457
HXCVD,MESA,mesaevthr2015_drepos_20200330.chf,Congestive Heart Failure (CHF),0.425594365
HXCVD,MESA,mesaevthr2015_drepos_20200330.chftt,Time to CHF or End of Year 2015 (days),0.425594365
HXCVD,MESA,mesaevthr2015_drepos_20200330.pvd,Peripheral Vascular Disease (PVD),0.513648371
HXCVD,MESA,mesaevthr2015_drepos_20200330.pvdtt,Time to PVD or End of Year 2015 (days),0.4549457
HXCVD,MESA,mesaevthr2015_drepos_20200330.prebase,Type of pre-baseline event,-
HXCVD,MESA,mesae3dres06222012.htnmed3c,Any hypertension medication,14.22072204
HXCVD,MESA,mesae3dres06222012.e13dyc,"Time between first and third visits, in days",12.72380393
HXCVD,MESA,mesaevthr2015_drepos_20200330.mi,Myocardial Infarction (MI),0.440270032
HXCVD,MESA,mesaevthr2015_drepos_20200330.mitt,Time to MI or End of Year 2015 (days),0.440270032
HXCVD,MESA,mesaevthr2015_drepos_20200330.rca,Resuscitated Cardiac Arrest,0.4549457
HXCVD,MESA,mesaevthr2015_drepos_20200330.rcatt,Time to RCA or End of Year 2015 (days),0.4549457
HXCVD,MESA,mesaevthr2015_drepos_20200330.ang,Angina Pectoris,0.4549457
HXCVD,MESA,mesaevthr2015_drepos_20200330.angtt,Time to Angina or End of Year 2015 (days),0.4549457
HXCVD,MESA,mesaevthr2015_drepos_20200330.chf,Congestive Heart Failure (CHF),0.425594365
HXCVD,MESA,mesaevthr2015_drepos_20200330.chftt,Time to CHF or End of Year 2015 (days),0.425594365
HXCVD,MESA,mesaevthr2015_drepos_20200330.pvd,Peripheral Vascular Disease (PVD),0.513648371
HXCVD,MESA,mesaevthr2015_drepos_20200330.pvdtt,Time to PVD or End of Year 2015 (days),0.4549457
HXCVD,MESA,mesaevthr2015_drepos_20200330.prebase,Type of pre-baseline event,-
HXCVD,MESA,mesae4dres06222012.whoros4c,WHO ROSE Intermittent Claudication,21.16231289
HXCVD,MESA,mesae4dres06222012.e14dyc,"Time between first and fourth visits, in days",14.61696507
HXCVD,MESA,mesaevthr2015_drepos_20200330.mi,Myocardial Infarction (MI),0.440270032
HXCVD,MESA,mesaevthr2015_drepos_20200330.mitt,Time to MI or End of Year 2015 (days),0.440270032
HXCVD,MESA,mesaevthr2015_drepos_20200330.rca,Resuscitated Cardiac Arrest,0.4549457
HXCVD,MESA,mesaevthr2015_drepos_20200330.rcatt,Time to RCA or End of Year 2015 (days),0.4549457
HXCVD,MESA,mesaevthr2015_drepos_20200330.ang,Angina Pectoris,0.4549457
HXCVD,MESA,mesaevthr2015_drepos_20200330.angtt,Time to Angina or End of Year 2015 (days),0.4549457
HXCVD,MESA,mesaevthr2015_drepos_20200330.chf,Congestive Heart Failure (CHF),0.425594365
HXCVD,MESA,mesaevthr2015_drepos_20200330.chftt,Time to CHF or End of Year 2015 (days),0.425594365
HXCVD,MESA,mesaevthr2015_drepos_20200330.pvd,Peripheral Vascular Disease (PVD),0.513648371
HXCVD,MESA,mesaevthr2015_drepos_20200330.pvdtt,Time to PVD or End of Year 2015 (days),0.4549457
HXCVD,MESA,mesaevthr2015_drepos_20200330.prebase,Type of pre-baseline event,-
HXCVD,MESA,mesae5_drepos_20220820.e15dyc,"TIME BETWEEN FIRST AND FIFTH VISITS, IN DAYS",-
HXCVD,REGARDS,baseline_calculated_variables.CAD_SR_ECG,-,-
HXCVD,REGARDS,baseline_calculated_variables.STROKE_SR,-,-
HXCVD,REGARDS,baseline_calculated_variables.TIA_SR,-,-
HXHRTD,ARIC,derive13.pad02,"PAD V1, Def 2 (same for both genders)",3.692348707
HXHRTD,ARIC,derive13.rangna01,ROSE ANGINA,0.239936017
HXHRTD,ARIC,derive13.prevhf01,Prevalent HF at Visit 1,1.832844575
HXHRTD,ARIC,incps18.c7_futimehf,Follow-up time for INCHF18 in days,6.671554252
HXHRTD,ARIC,incps18.inchf18,Incident HF (from discharge codes),6.671554252
HXHRTD,ARIC,incps18.fuproc18,Follow up time for PROC18 (days),-
HXHRTD,ARIC,incps18.proc18,Cardiac Procedures,-
HXHRTD,ARIC,derive13.prevhf01,Prevalent HF at Visit 1,1.832844575
HXHRTD,ARIC,derive37.pad32,"PAD V3, Def 2 (same for both genders)",65.00082061
HXHRTD,ARIC,derive37.v3days,DAYS SINCE EXAM 1,-
HXHRTD,ARIC,hhxc04.hhxc1,REPORT ROSE ANGINA IN AFU? Q1,-
HXHRTD,ARIC,incps18.c7_futimehf,Follow-up time for INCHF18 in days,6.671554252
HXHRTD,ARIC,incps18.inchf18,Incident HF (from discharge codes),6.671554252
HXHRTD,ARIC,incps18.fuproc18,Follow up time for PROC18 (days),-
HXHRTD,ARIC,incps18.proc18,Cardiac Procedures,-
HXHRTD,ARIC,derive13.prevhf01,Prevalent HF at Visit 1,1.832844575
HXHRTD,ARIC,derive47.pad42,"PAD V4, Def 2 (same for both genders)",44.86117433
HXHRTD,ARIC,derive47.v4days,DAYS SINCE EXAM 1,-
HXHRTD,ARIC,hhxd04.hhxd1,REPORT ROSE ANGINA IN AFU? Q1,-
HXHRTD,ARIC,incps18.c7_futimehf,Follow-up time for INCHF18 in days,6.671554252
HXHRTD,ARIC,incps18.inchf18,Incident HF (from discharge codes),6.671554252
HXHRTD,ARIC,incps18.fuproc18,Follow up time for PROC18 (days),-
HXHRTD,ARIC,incps18.proc18,Cardiac Procedures,-
HXHRTD,Framingham,vr_survcvd_2019_a_1334d.cvd,Cardiovascular Disease (CVD) status,-
HXHRTD,Framingham,vr_survcvd_2019_a_1334d.cvddate,Date of Cardiovascular Disease (CVD) status,-
HXHRTD,Framingham,,-,-
HXHRTD,Framingham,vr_soe_2020_a_1340d.date,DATE OF EVENT,0.016110843
HXHRTD,Framingham,vr_soe_2020_a_1340d.event,EVENT NUMBER ON SEQUENCE OF EVENTS,-
HXHRTD,Framingham,vr_cvdproc_2020_a_1313d.procdate,Date of cardiovascular procedure,-
HXHRTD,Framingham,vr_cvdproc_2020_a_1313d.procnum,PROCEDURE NUMBER,-
HXHRTD,Framingham,vr_survcvd_2019_a_1334d.cvd,Cardiovascular Disease (CVD) status,-
HXHRTD,Framingham,vr_survcvd_2019_a_1334d.cvddate,Date of Cardiovascular Disease (CVD) status,-
HXHRTD,Framingham,vr_wkthru_ex09_1_1001d.date2,Date of Exam 2,24.77947073
HXHRTD,Framingham,vr_soe_2020_a_1340d.date,DATE OF EVENT,0.016110843
HXHRTD,Framingham,vr_soe_2020_a_1340d.event,EVENT NUMBER ON SEQUENCE OF EVENTS,-
HXHRTD,Framingham,vr_cvdproc_2020_a_1313d.procdate,Date of cardiovascular procedure,-
HXHRTD,Framingham,vr_cvdproc_2020_a_1313d.procnum,PROCEDURE NUMBER,-
HXHRTD,Framingham,vr_survcvd_2019_a_1334d.cvd,Cardiovascular Disease (CVD) status,-
HXHRTD,Framingham,vr_survcvd_2019_a_1334d.cvddate,Date of Cardiovascular Disease (CVD) status,-
HXHRTD,Framingham,vr_wkthru_ex09_1_1001d.date3,Date of Exam 3,24.57898958
HXHRTD,Framingham,vr_soe_2020_a_1340d.date,DATE OF EVENT,0.016110843
HXHRTD,Framingham,vr_soe_2020_a_1340d.event,EVENT NUMBER ON SEQUENCE OF EVENTS,-
HXHRTD,Framingham,vr_cvdproc_2020_a_1313d.procdate,Date of cardiovascular procedure,-
HXHRTD,Framingham,vr_cvdproc_2020_a_1313d.procnum,PROCEDURE NUMBER,-
HXHRTD,Framingham,vr_survcvd_2019_a_1334d.cvd,Cardiovascular Disease (CVD) status,-
HXHRTD,Framingham,vr_survcvd_2019_a_1334d.cvddate,Date of Cardiovascular Disease (CVD) status,-
HXHRTD,Framingham,vr_wkthru_ex09_1_1001d.date4,Date of Exam 4,21.77225341
HXHRTD,Framingham,vr_soe_2020_a_1340d.date,DATE OF EVENT,0.016110843
HXHRTD,Framingham,vr_soe_2020_a_1340d.event,EVENT NUMBER ON SEQUENCE OF EVENTS,-
HXHRTD,Framingham,vr_cvdproc_2020_a_1313d.procdate,Date of cardiovascular procedure,-
HXHRTD,Framingham,vr_cvdproc_2020_a_1313d.procnum,PROCEDURE NUMBER,-
HXHRTD,Framingham,vr_survcvd_2019_a_1334d.cvd,Cardiovascular Disease (CVD) status,-
HXHRTD,Framingham,vr_survcvd_2019_a_1334d.cvddate,Date of Cardiovascular Disease (CVD) status,-
HXHRTD,Framingham,vr_wkthru_ex09_1_1001d.date5,Date of Exam 5,26.06255012
HXHRTD,Framingham,vr_soe_2020_a_1340d.date,DATE OF EVENT,0.016110843
HXHRTD,Framingham,vr_soe_2020_a_1340d.event,EVENT NUMBER ON SEQUENCE OF EVENTS,-
HXHRTD,Framingham,vr_cvdproc_2020_a_1313d.procdate,Date of cardiovascular procedure,-
HXHRTD,Framingham,vr_cvdproc_2020_a_1313d.procnum,PROCEDURE NUMBER,-
HXHRTD,Framingham,vr_survcvd_2019_a_1334d.cvd,Cardiovascular Disease (CVD) status,-
HXHRTD,Framingham,vr_survcvd_2019_a_1334d.cvddate,Date of Cardiovascular Disease (CVD) status,-
HXHRTD,Framingham,vr_wkthru_ex09_1_1001d.date6,Date of Exam 6,31.61587811
HXHRTD,Framingham,vr_soe_2020_a_1340d.date,DATE OF EVENT,0.016110843
HXHRTD,Framingham,vr_soe_2020_a_1340d.event,EVENT NUMBER ON SEQUENCE OF EVENTS,-
HXHRTD,Framingham,vr_cvdproc_2020_a_1313d.procdate,Date of cardiovascular procedure,-
HXHRTD,Framingham,vr_cvdproc_2020_a_1313d.procnum,PROCEDURE NUMBER,-
HXHRTD,Framingham,vr_survcvd_2019_a_1334d.cvd,Cardiovascular Disease (CVD) status,-
HXHRTD,Framingham,vr_survcvd_2019_a_1334d.cvddate,Date of Cardiovascular Disease (CVD) status,-
HXHRTD,Framingham,vr_wkthru_ex09_1_1001d.date7,Date of Exam 7,30.3127506
HXHRTD,Framingham,vr_soe_2020_a_1340d.date,DATE OF EVENT,0.016110843
HXHRTD,Framingham,vr_soe_2020_a_1340d.event,EVENT NUMBER ON SEQUENCE OF EVENTS,-
HXHRTD,Framingham,vr_cvdproc_2020_a_1313d.procdate,Date of cardiovascular procedure,-
HXHRTD,Framingham,vr_cvdproc_2020_a_1313d.procnum,PROCEDURE NUMBER,-
HXHRTD,Framingham,vr_survcvd_2019_a_1334d.cvd,Cardiovascular Disease (CVD) status,-
HXHRTD,Framingham,vr_survcvd_2019_a_1334d.cvddate,Date of Cardiovascular Disease (CVD) status,-
HXHRTD,Framingham,vr_wkthru_ex09_1_1001d.date8,Date of Exam 8,40.1563753
HXHRTD,Framingham,vr_soe_2020_a_1340d.date,DATE OF EVENT,0.016110843
HXHRTD,Framingham,vr_soe_2020_a_1340d.event,EVENT NUMBER ON SEQUENCE OF EVENTS,-
HXHRTD,Framingham,vr_cvdproc_2020_a_1313d.procdate,Date of cardiovascular procedure,-
HXHRTD,Framingham,vr_cvdproc_2020_a_1313d.procnum,PROCEDURE NUMBER,-
HXHRTD,Framingham,vr_survcvd_2019_a_1334d.cvd,Cardiovascular Disease (CVD) status,-
HXHRTD,Framingham,vr_survcvd_2019_a_1334d.cvddate,Date of Cardiovascular Disease (CVD) status,-
HXHRTD,Framingham,vr_wkthru_ex09_1_1001d.date9,Date of Exam 9,51.88452285
HXHRTD,Framingham,vr_soe_2020_a_1340d.date,DATE OF EVENT,0.016110843
HXHRTD,Framingham,vr_soe_2020_a_1340d.event,EVENT NUMBER ON SEQUENCE OF EVENTS,-
HXHRTD,Framingham,vr_cvdproc_2020_a_1313d.procdate,Date of cardiovascular procedure,-
HXHRTD,Framingham,vr_cvdproc_2020_a_1313d.procnum,PROCEDURE NUMBER,-
HXHRTD,MESA,mesaevthr2015_drepos_20200330.mi,Myocardial Infarction (MI),0.440270032
HXHRTD,MESA,mesaevthr2015_drepos_20200330.mitt,Time to MI or End of Year 2015 (days),0.440270032
HXHRTD,MESA,mesaevthr2015_drepos_20200330.rca,Resuscitated Cardiac Arrest,0.4549457
HXHRTD,MESA,mesaevthr2015_drepos_20200330.rcatt,Time to RCA or End of Year 2015 (days),0.4549457
HXHRTD,MESA,mesaevthr2015_drepos_20200330.ang,Angina Pectoris,0.4549457
HXHRTD,MESA,mesaevthr2015_drepos_20200330.angtt,Time to Angina or End of Year 2015 (days),0.4549457
HXHRTD,MESA,mesaevthr2015_drepos_20200330.chf,Congestive Heart Failure (CHF),0.425594365
HXHRTD,MESA,mesaevthr2015_drepos_20200330.chftt,Time to CHF or End of Year 2015 (days),0.425594365
HXHRTD,MESA,mesaevthr2015_drepos_20200330.pvd,Peripheral Vascular Disease (PVD),0.513648371
HXHRTD,MESA,mesaevthr2015_drepos_20200330.pvdtt,Time to PVD or End of Year 2015 (days),0.4549457
HXHRTD,MESA,mesaevthr2015_drepos_20200330.cbg,Coronary Bypass Graft (CBG),0.4549457
HXHRTD,MESA,mesaevthr2015_drepos_20200330.cbgtt,Time to CBG or End of Year 2015 (days),0.4549457
HXHRTD,MESA,mesaevthr2015_drepos_20200330.ptca,"PTCA, Cor. Stent, or Cor. Atherectomy",0.440270032
HXHRTD,MESA,mesaevthr2015_drepos_20200330.ptcatt,Time to PTCA or End of Year 2015 (days),0.440270032
HXHRTD,MESA,mesaevthr2015_drepos_20200330.revc,Coronary Revascularization,0.440270032
HXHRTD,MESA,mesaevthr2015_drepos_20200330.revctt,Time to Cor. Revasc. or End of Year 2015 (days),0.440270032
HXHRTD,MESA,mesaevthr2015_drepos_20200330.prebase,Type of pre-baseline event,-
HXHRTD,MESA,mesaevthr2015_drepos_20200330.mi,Myocardial Infarction (MI),0.440270032
HXHRTD,MESA,mesaevthr2015_drepos_20200330.mitt,Time to MI or End of Year 2015 (days),0.440270032
HXHRTD,MESA,mesaevthr2015_drepos_20200330.rca,Resuscitated Cardiac Arrest,0.4549457
HXHRTD,MESA,mesaevthr2015_drepos_20200330.rcatt,Time to RCA or End of Year 2015 (days),0.4549457
HXHRTD,MESA,mesaevthr2015_drepos_20200330.ang,Angina Pectoris,0.4549457
HXHRTD,MESA,mesaevthr2015_drepos_20200330.angtt,Time to Angina or End of Year 2015 (days),0.4549457
HXHRTD,MESA,mesaevthr2015_drepos_20200330.chf,Congestive Heart Failure (CHF),0.425594365
HXHRTD,MESA,mesaevthr2015_drepos_20200330.chftt,Time to CHF or End of Year 2015 (days),0.425594365
HXHRTD,MESA,mesaevthr2015_drepos_20200330.pvd,Peripheral Vascular Disease (PVD),0.513648371
HXHRTD,MESA,mesaevthr2015_drepos_20200330.pvdtt,Time to PVD or End of Year 2015 (days),0.4549457
HXHRTD,MESA,mesaevthr2015_drepos_20200330.cbg,Coronary Bypass Graft (CBG),0.4549457
HXHRTD,MESA,mesaevthr2015_drepos_20200330.cbgtt,Time to CBG or End of Year 2015 (days),0.4549457
HXHRTD,MESA,mesaevthr2015_drepos_20200330.ptca,"PTCA, Cor. Stent, or Cor. Atherectomy",0.440270032
HXHRTD,MESA,mesaevthr2015_drepos_20200330.ptcatt,Time to PTCA or End of Year 2015 (days),0.440270032
HXHRTD,MESA,mesaevthr2015_drepos_20200330.revc,Coronary Revascularization,0.440270032
HXHRTD,MESA,mesaevthr2015_drepos_20200330.revctt,Time to Cor. Revasc. or End of Year 2015 (days),0.440270032
HXHRTD,MESA,mesaevthr2015_drepos_20200330.prebase,Type of pre-baseline event,-
HXHRTD,MESA,mesae2dres06222012.e12dyc,"Time between exam visits, in days",8.526562959
HXHRTD,MESA,mesaevthr2015_drepos_20200330.mi,Myocardial Infarction (MI),0.440270032
HXHRTD,MESA,mesaevthr2015_drepos_20200330.mitt,Time to MI or End of Year 2015 (days),0.440270032
HXHRTD,MESA,mesaevthr2015_drepos_20200330.rca,Resuscitated Cardiac Arrest,0.4549457
HXHRTD,MESA,mesaevthr2015_drepos_20200330.rcatt,Time to RCA or End of Year 2015 (days),0.4549457
HXHRTD,MESA,mesaevthr2015_drepos_20200330.ang,Angina Pectoris,0.4549457
HXHRTD,MESA,mesaevthr2015_drepos_20200330.angtt,Time to Angina or End of Year 2015 (days),0.4549457
HXHRTD,MESA,mesaevthr2015_drepos_20200330.chf,Congestive Heart Failure (CHF),0.425594365
HXHRTD,MESA,mesae4dres06222012.e14dyc,"Time between first and fourth visits, in days",14.61696507
HXHRTD,MESA,mesaevthr2015_drepos_20200330.chftt,Time to CHF or End of Year 2015 (days),0.425594365
HXHRTD,MESA,mesaevthr2015_drepos_20200330.pvd,Peripheral Vascular Disease (PVD),0.513648371
HXHRTD,MESA,mesaevthr2015_drepos_20200330.pvdtt,Time to PVD or End of Year 2015 (days),0.4549457
HXHRTD,MESA,mesaevthr2015_drepos_20200330.cbg,Coronary Bypass Graft (CBG),0.4549457
HXHRTD,MESA,mesaevthr2015_drepos_20200330.cbgtt,Time to CBG or End of Year 2015 (days),0.4549457
HXHRTD,MESA,mesaevthr2015_drepos_20200330.ptca,"PTCA, Cor. Stent, or Cor. Atherectomy",0.440270032
HXHRTD,MESA,mesaevthr2015_drepos_20200330.ptcatt,Time to PTCA or End of Year 2015 (days),0.440270032
HXHRTD,MESA,mesaevthr2015_drepos_20200330.revc,Coronary Revascularization,0.440270032
HXHRTD,MESA,mesaevthr2015_drepos_20200330.revctt,Time to Cor. Revasc. or End of Year 2015 (days),0.440270032
HXHRTD,MESA,mesaevthr2015_drepos_20200330.prebase,Type of pre-baseline event,-
HXHRTD,MESA,mesae3dres06222012.e13dyc,"Time between first and third visits, in days",12.72380393
HXHRTD,MESA,mesaevthr2015_drepos_20200330.mi,Myocardial Infarction (MI),0.440270032
HXHRTD,MESA,mesaevthr2015_drepos_20200330.mitt,Time to MI or End of Year 2015 (days),0.440270032
HXHRTD,MESA,mesaevthr2015_drepos_20200330.rca,Resuscitated Cardiac Arrest,0.4549457
HXHRTD,MESA,mesaevthr2015_drepos_20200330.mi,Myocardial Infarction (MI),0.440270032
HXHRTD,MESA,mesaevthr2015_drepos_20200330.rcatt,Time to RCA or End of Year 2015 (days),0.4549457
HXHRTD,MESA,mesaevthr2015_drepos_20200330.ang,Angina Pectoris,0.4549457
HXHRTD,MESA,mesaevthr2015_drepos_20200330.angtt,Time to Angina or End of Year 2015 (days),0.4549457
HXHRTD,MESA,mesaevthr2015_drepos_20200330.chf,Congestive Heart Failure (CHF),0.425594365
HXHRTD,MESA,mesaevthr2015_drepos_20200330.chftt,Time to CHF or End of Year 2015 (days),0.425594365
HXHRTD,MESA,mesaevthr2015_drepos_20200330.pvd,Peripheral Vascular Disease (PVD),0.513648371
HXHRTD,MESA,mesaevthr2015_drepos_20200330.pvdtt,Time to PVD or End of Year 2015 (days),0.4549457
HXHRTD,MESA,mesaevthr2015_drepos_20200330.cbg,Coronary Bypass Graft (CBG),0.4549457
HXHRTD,MESA,mesaevthr2015_drepos_20200330.cbgtt,Time to CBG or End of Year 2015 (days),0.4549457
HXHRTD,MESA,mesaevthr2015_drepos_20200330.ptca,"PTCA, Cor. Stent, or Cor. Atherectomy",0.440270032
HXHRTD,MESA,mesaevthr2015_drepos_20200330.ptcatt,Time to PTCA or End of Year 2015 (days),0.440270032
HXHRTD,MESA,mesaevthr2015_drepos_20200330.revc,Coronary Revascularization,0.440270032
HXHRTD,MESA,mesaevthr2015_drepos_20200330.revctt,Time to Cor. Revasc. or End of Year 2015 (days),0.440270032
HXHRTD,MESA,mesaevthr2015_drepos_20200330.prebase,Type of pre-baseline event,-
HXHRTD,MESA,mesaevthr2015_drepos_20200330.mitt,Time to MI or End of Year 2015 (days),0.440270032
HXHRTD,MESA,mesaevthr2015_drepos_20200330.rca,Resuscitated Cardiac Arrest,0.4549457
HXHRTD,MESA,mesaevthr2015_drepos_20200330.rcatt,Time to RCA or End of Year 2015 (days),0.4549457
HXHRTD,MESA,mesaevthr2015_drepos_20200330.ang,Angina Pectoris,0.4549457
HXHRTD,MESA,mesaevthr2015_drepos_20200330.angtt,Time to Angina or End of Year 2015 (days),0.4549457
HXHRTD,MESA,mesaevthr2015_drepos_20200330.chf,Congestive Heart Failure (CHF),0.425594365
HXHRTD,MESA,mesaevthr2015_drepos_20200330.chftt,Time to CHF or End of Year 2015 (days),0.425594365
HXHRTD,MESA,mesaevthr2015_drepos_20200330.pvd,Peripheral Vascular Disease (PVD),0.513648371
HXHRTD,MESA,mesaevthr2015_drepos_20200330.pvdtt,Time to PVD or End of Year 2015 (days),0.4549457
HXHRTD,MESA,mesaevthr2015_drepos_20200330.cbg,Coronary Bypass Graft (CBG),0.4549457
HXHRTD,MESA,mesaevthr2015_drepos_20200330.cbgtt,Time to CBG or End of Year 2015 (days),0.4549457
HXHRTD,MESA,mesaevthr2015_drepos_20200330.ptca,"PTCA, Cor. Stent, or Cor. Atherectomy",0.440270032
HXHRTD,MESA,mesaevthr2015_drepos_20200330.ptcatt,Time to PTCA or End of Year 2015 (days),0.440270032
HXHRTD,MESA,mesaevthr2015_drepos_20200330.revc,Coronary Revascularization,0.440270032
HXHRTD,MESA,mesaevthr2015_drepos_20200330.revctt,Time to Cor. Revasc. or End of Year 2015 (days),0.440270032
HXHRTD,MESA,mesaevthr2015_drepos_20200330.prebase,Type of pre-baseline event,-
HXHRTD,MESA,mesae5_drepos_20220820.e15dyc,"TIME BETWEEN FIRST AND FIFTH VISITS, IN DAYS",-
HXHRTD,REGARDS,baseline_calculated_variables.CAD_SR_ECG,-,-
HXMI,ARIC,derive13.mddxmi02,MD DIAGNOSED MYOCARDIAL INFARCTION,0.359904026
HXMI,ARIC,derive13.hxofmi02,HISTORY OF MYOCARDIAL INFARCTION,0.366568915
HXMI,ARIC,incps18.fumi18,Follow up time for MI18 (days),-
HXMI,ARIC,incps18.fuinc18,Follow up time for INC_BY18 (days),-
HXMI,ARIC,incps18.mi18,MI by Censoring Date,-
HXMI,ARIC,incps18.inc18,MI/FATCHD by Censoring Date,-
HXMI,ARIC,derive2_10.mddxmi21,V2 MD Diagnosed Myocardial Infarction,-
HXMI,ARIC,derive2_10.hxofmi21,V2 History of Myocardial Infarction,-
HXMI,ARIC,derive2_10.v2days,DAYS SINCE EXAM 1,-
HXMI,ARIC,incps18.fumi18,Follow up time for MI18 (days),-
HXMI,ARIC,incps18.fuinc18,Follow up time for INC_BY18 (days),-
HXMI,ARIC,incps18.mi18,MI by Censoring Date,-
HXMI,ARIC,incps18.inc18,MI/FATCHD by Censoring Date,-
HXMI,ARIC,derive37.mddxmi31,V3 MD Diagnosed Myocardial Infarction,-
HXMI,ARIC,derive37.hxofmi31,V3 History of Myocardial Infarction,0.008206138
HXMI,ARIC,derive37.v3days,DAYS SINCE EXAM 1,-
HXMI,ARIC,incps18.fumi18,Follow up time for MI18 (days),-
HXMI,ARIC,incps18.fuinc18,Follow up time for INC_BY18 (days),-
HXMI,ARIC,incps18.mi18,MI by Censoring Date,-
HXMI,ARIC,incps18.inc18,MI/FATCHD by Censoring Date,-
HXMI,ARIC,derive47.mddxmi41,V4 MD Diagnosed Myocardial Infarction,-
HXMI,ARIC,derive47.hxofmi41,V4 History of Myocardial Infarction,-
HXMI,ARIC,derive47.v4days,DAYS SINCE EXAM 1,-
HXMI,ARIC,incps18.fumi18,Follow up time for MI18 (days),-
HXMI,ARIC,incps18.fuinc18,Follow up time for INC_BY18 (days),-
HXMI,ARIC,incps18.mi18,MI by Censoring Date,-
HXMI,ARIC,incps18.inc18,MI/FATCHD by Censoring Date,-
HXMI,Framingham,vr_soe_2020_a_1340d.date,DATE OF EVENT,0.016110843
HXMI,Framingham,vr_soe_2020_a_1340d.event,EVENT NUMBER ON SEQUENCE OF EVENTS,-
HXMI,Framingham,,-,-
HXMI,Framingham,vr_soe_2020_a_1340d.date,DATE OF EVENT,0.016110843
HXMI,Framingham,vr_soe_2020_a_1340d.event,EVENT NUMBER ON SEQUENCE OF EVENTS,-
HXMI,Framingham,vr_wkthru_ex09_1_1001d.date2,Date of Exam 2,24.77947073
HXMI,Framingham,vr_soe_2020_a_1340d.date,DATE OF EVENT,0.016110843
HXMI,Framingham,vr_soe_2020_a_1340d.event,EVENT NUMBER ON SEQUENCE OF EVENTS,-
HXMI,Framingham,vr_wkthru_ex09_1_1001d.date3,Date of Exam 3,24.57898958
HXMI,Framingham,vr_soe_2020_a_1340d.date,DATE OF EVENT,0.016110843
HXMI,Framingham,vr_soe_2020_a_1340d.event,EVENT NUMBER ON SEQUENCE OF EVENTS,-
HXMI,Framingham,vr_wkthru_ex09_1_1001d.date4,Date of Exam 4,21.77225341
HXMI,Framingham,vr_soe_2020_a_1340d.date,DATE OF EVENT,0.016110843
HXMI,Framingham,vr_soe_2020_a_1340d.event,EVENT NUMBER ON SEQUENCE OF EVENTS,-
HXMI,Framingham,vr_wkthru_ex09_1_1001d.date5,Date of Exam 5,26.06255012
HXMI,Framingham,vr_soe_2020_a_1340d.date,DATE OF EVENT,0.016110843
HXMI,Framingham,vr_soe_2020_a_1340d.event,EVENT NUMBER ON SEQUENCE OF EVENTS,-
HXMI,Framingham,vr_wkthru_ex09_1_1001d.date6,Date of Exam 6,31.61587811
HXMI,Framingham,vr_soe_2020_a_1340d.date,DATE OF EVENT,0.016110843
HXMI,Framingham,vr_soe_2020_a_1340d.event,EVENT NUMBER ON SEQUENCE OF EVENTS,-
HXMI,Framingham,vr_wkthru_ex09_1_1001d.date7,Date of Exam 7,30.3127506
HXMI,Framingham,vr_soe_2020_a_1340d.date,DATE OF EVENT,0.016110843
HXMI,Framingham,vr_soe_2020_a_1340d.event,EVENT NUMBER ON SEQUENCE OF EVENTS,-
HXMI,Framingham,vr_wkthru_ex09_1_1001d.date8,Date of Exam 8,40.1563753
HXMI,Framingham,vr_soe_2020_a_1340d.date,DATE OF EVENT,0.016110843
HXMI,Framingham,vr_soe_2020_a_1340d.event,EVENT NUMBER ON SEQUENCE OF EVENTS,-
HXMI,Framingham,vr_wkthru_ex09_1_1001d.date9,Date of Exam 9,51.88452285
HXMI,MESA,mesaevthr2015_drepos_20200330.mi,Myocardial Infarction (MI),0.440270032
HXMI,MESA,mesaevthr2015_drepos_20200330.mitt,Time to MI or End of Year 2015 (days),0.440270032
HXMI,MESA,mesaevthr2015_drepos_20200330.mi,Myocardial Infarction (MI),0.440270032
HXMI,MESA,mesaevthr2015_drepos_20200330.mitt,Time to MI or End of Year 2015 (days),0.440270032
HXMI,MESA,mesae2dres06222012.e12dyc,"Time between exam visits, in days",8.526562959
HXMI,MESA,mesaevthr2015_drepos_20200330.mi,Myocardial Infarction (MI),0.440270032
